,fname,cycle,sound,location,time
0,../set_a_cut/normal__201102081321_S1_1.wav,1,S1,9021,204.5578231292517
1,../set_a_cut/normal__201102081321_S2_1.wav,1,S2,19759,448.0498866213152
2,../set_a_cut/normal__201102081321_S1_2.wav,2,S1,34075,772.6757369614512
3,../set_a_cut/normal__201102081321_S2_2.wav,2,S2,46244,1048.6167800453516
4,../set_a_cut/normal__201102081321_S1_3.wav,3,S1,61992,1405.7142857142858
5,../set_a_cut/normal__201102081321_S2_3.wav,3,S2,72729,1649.1836734693877
6,../set_a_cut/normal__201102081321_S1_4.wav,4,S1,87761,1990.045351473923
7,../set_a_cut/normal__201102081321_S2_4.wav,4,S2,100646,2282.222222222222
8,../set_a_cut/normal__201102081321_S1_5.wav,5,S1,114246,2590.612244897959
9,../set_a_cut/normal__201102081321_S2_5.wav,5,S2,126415,2866.5532879818593
10,../set_a_cut/normal__201102081321_S1_6.wav,6,S1,142163,3223.6507936507937
11,../set_a_cut/normal__201102081321_S2_6.wav,6,S2,152900,3467.120181405896
12,../set_a_cut/normal__201102081321_S1_7.wav,7,S1,167216,3791.746031746032
13,../set_a_cut/normal__201102081321_S2_7.wav,7,S2,179385,4067.687074829932
14,../set_a_cut/normal__201102081321_S1_8.wav,8,S1,194417,4408.548752834467
15,../set_a_cut/normal__201102081321_S2_8.wav,8,S2,205155,4652.040816326531
16,../set_a_cut/normal__201102081321_S1_9.wav,9,S1,219471,4976.666666666667
17,../set_a_cut/normal__201102081321_S2_9.wav,9,S2,230924,5236.371882086168
18,../set_a_cut/normal__201102081321_S1_10.wav,10,S1,271010,6145.351473922902
19,../set_a_cut/normal__201102081321_S2_10.wav,10,S2,282463,6405.056689342404
20,../set_a_cut/normal__201102081321_S1_11.wav,11,S1,296779,6729.68253968254
21,../set_a_cut/normal__201102081321_S2_11.wav,11,S2,308232,6989.3877551020405
22,../set_a_cut/normal__201102081321_S1_12.wav,12,S1,323264,7330.249433106576
23,../set_a_cut/normal__201102081321_S2_12.wav,12,S2,334001,7573.718820861678
24,../set_a_cut/normal__201102260502_S1_1.wav,1,S1,10526,238.6848072562358
25,../set_a_cut/normal__201102260502_S2_1.wav,1,S2,26941,610.9070294784581
26,../set_a_cut/normal__201102260502_S1_2.wav,2,S1,41197,934.172335600907
27,../set_a_cut/normal__201102260502_S2_2.wav,2,S2,57163,1296.2131519274376
28,../set_a_cut/normal__201102260502_S1_3.wav,3,S1,70278,1593.6054421768708
29,../set_a_cut/normal__201102260502_S2_3.wav,3,S2,87955,1994.4444444444443
30,../set_a_cut/normal__201102260502_S1_4.wav,4,S1,101641,2304.784580498866
31,../set_a_cut/normal__201102260502_S2_4.wav,4,S2,121028,2744.3990929705215
32,../set_a_cut/normal__201102260502_S1_5.wav,5,S1,133573,3028.8662131519272
33,../set_a_cut/normal__201102260502_S2_5.wav,5,S2,151821,3442.6530612244896
34,../set_a_cut/normal__201102260502_S1_6.wav,6,S1,183753,4166.734693877551
35,../set_a_cut/normal__201102260502_S2_6.wav,6,S2,196869,4464.149659863946
36,../set_a_cut/normal__201102260502_S1_7.wav,7,S1,215686,4890.839002267574
37,../set_a_cut/normal__201102260502_S2_7.wav,7,S2,229942,5214.104308390023
38,../set_a_cut/normal__201102260502_S1_8.wav,8,S1,250211,5673.718820861678
39,../set_a_cut/normal__201102260502_S2_8.wav,8,S2,264168,5990.2040816326535
40,../set_a_cut/normal__201103090635_S1_1.wav,1,S1,4366,99.00226757369614
41,../set_a_cut/normal__201103090635_S2_1.wav,1,S2,16632,377.14285714285717
42,../set_a_cut/normal__201103090635_S1_2.wav,2,S1,30432,690.0680272108843
43,../set_a_cut/normal__201103090635_S2_2.wav,2,S2,43464,985.578231292517
44,../set_a_cut/normal__201103090635_S1_3.wav,3,S1,58030,1315.873015873016
45,../set_a_cut/normal__201103090635_S2_3.wav,3,S2,70296,1594.0136054421769
46,../set_a_cut/normal__201103090635_S1_4.wav,4,S1,85629,1941.700680272109
47,../set_a_cut/normal__201103090635_S2_4.wav,4,S2,98661,2237.2108843537417
48,../set_a_cut/normal__201103090635_S1_5.wav,5,S1,115527,2619.6598639455783
49,../set_a_cut/normal__201103090635_S2_5.wav,5,S2,127793,2897.8004535147393
50,../set_a_cut/normal__201103090635_S1_6.wav,6,S1,143125,3245.46485260771
51,../set_a_cut/normal__201103090635_S2_6.wav,6,S2,155391,3523.605442176871
